attr,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
X,1.0,0.5395481711380374,-0.06500303238573897,-0.0249218945162008,-0.02103927195447126,-0.048384178110027716,-0.08591612292922376,0.006209940733411664,-0.05125826189682821,0.08522319351659563,0.018797818391806973,0.06538716763446119,0.06338529923831293
Y,0.5395481711380374,1.0,-0.06629178566585724,-0.005453336752210835,-0.046307545544891374,0.007781561188029461,-0.10117776738647896,-0.024487992245409523,-0.024103083978641134,0.06222073101148431,-0.02034085165922275,0.03323410316780376,0.044873225122813686
month,-0.06500303238573897,-0.06629178566585724,1.0,-0.05083659196727137,0.2914767710905287,0.4666452517906218,0.8686977586017947,0.18659697418689347,0.3688415053584638,-0.09528038433200842,-0.08636796530413297,0.01343812906381558,0.05649577429070937
day,-0.0249218945162008,-0.005453336752210835,-0.05083659196727137,1.0,-0.04106833078009169,0.06287039728670332,0.00010490272014463321,0.03290925951589135,0.052190340978970205,0.09215143741355848,0.03247816377925546,-0.048340152986806835,0.023226371567460602
FFMC,-0.02103927195447126,-0.046307545544891374,0.2914767710905287,-0.04106833078009169,1.0,0.3826188000494296,0.33051179520454244,0.5318049310435652,0.4315322591786201,-0.3009954160617394,-0.02848480923044134,0.05670153306263109,0.04012200415862087
DMC,-0.048384178110027716,0.007781561188029461,0.4666452517906218,0.06287039728670332,0.3826188000494296,1.0,0.6821916119833166,0.30512783486978307,0.4695938443360306,0.0737949411057815,-0.10534225273531543,0.07478998218143794,0.07299429625105738
DC,-0.08591612292922376,-0.10117776738647896,0.8686977586017947,0.00010490272014463321,0.33051179520454244,0.6821916119833166,1.0,0.2291541690881884,0.49620805310522964,-0.039191647189482676,-0.20346569092971836,0.03586086198009625,0.04938322529891624
ISI,0.006209940733411664,-0.024487992245409523,0.18659697418689347,0.03290925951589135,0.5318049310435652,0.30512783486978307,0.2291541690881884,1.0,0.3942871042080057,-0.13251717724923437,0.1068258879233506,0.06766818992582692,0.00825768784122682
temp,-0.05125826189682821,-0.024103083978641134,0.3688415053584638,0.052190340978970205,0.4315322591786201,0.4695938443360306,0.49620805310522964,0.3942871042080057,1.0,-0.5273903386376707,-0.2271162203706695,0.06949054662170356,0.09784410734168486
RH,0.08522319351659563,0.06222073101148431,-0.09528038433200842,0.09215143741355848,-0.3009954160617394,0.0737949411057815,-0.039191647189482676,-0.13251717724923437,-0.5273903386376707,1.0,0.0694100671560726,0.09975122334314504,-0.07551856346988933
wind,0.018797818391806973,-0.02034085165922275,-0.08636796530413297,0.03247816377925546,-0.02848480923044134,-0.10534225273531543,-0.20346569092971836,0.1068258879233506,-0.2271162203706695,0.0694100671560726,1.0,0.06111888020217675,0.012317276888673134
rain,0.06538716763446119,0.03323410316780376,0.01343812906381558,-0.048340152986806835,0.05670153306263109,0.07478998218143794,0.03586086198009625,0.06766818992582692,0.06949054662170356,0.09975122334314504,0.06111888020217675,1.0,-0.007365729279292295
area,0.06338529923831293,0.044873225122813686,0.05649577429070937,0.023226371567460602,0.04012200415862087,0.07299429625105738,0.04938322529891624,0.00825768784122682,0.09784410734168486,-0.07551856346988933,0.012317276888673134,-0.007365729279292295,1.0
